promotion_id,description,description_en,bad
1NWLAvQUbpcwTtKoFVGq2GNrz4v1wT,"Artisanal Italian Cheeses  : Savour authentic Italian fare crafted with Artisanal Italian Cheeses from Antica Luna by Chef Roberto.







- Fresh Burrata with roasted cherry tomato, Himalaian rock salt and figs juice.  - THB450



- Pizza with stracchino cheese crispy walnuts and rocket pesto.  - THB340



- Skewers with Bocconcini, grilled capsicum and spicy dressing. -  THB310















","Artisanal Italian Cheeses : Savor authentic Italian fare crafted with Artisanal Italian Cheeses from Antica Luna by Chef Roberto.







- Fresh Burrata with roasted cherry tomato, Himalaian rock salt and figs juice. -THB450



- Pizza with stracchino cheese, crispy walnuts and rocket pesto. -THB340



- Skewers with Bocconcini, grilled capsicum and spicy dressing. - THB310















",1
1NWLAvtJV2wVlBV9EOtglj8nvYJOGr,"ซื้อ1แก้ว แถม1แก้ว ฟรี!!!!!



ตั้งแต่เวลา 17.00 - 19.00



Happy Hours for every Afternoon Hour!!!



* TIMINGS : 17.00 - 19.00



* OFFER: Inclusive of beer, wine and our signature Cocktails with one get one free!!!







Reservation please call : +66 76608885



","Buy 1 glass, get 1 glass free!!!!!



From 17.00 - 19.00



Happy Hours for every Afternoon Hour!!!



*TIMINGS : 17.00 - 19.00



* OFFER: Inclusive of beer, wine and our signature Cocktails with one get one free!!!







Reservation please call : +66 76608885



",1
1NWLCzV6hLOyMUxQSXppKrOyWNRQyD,"มินิสุดๆ 59, 


super mini 59THB","Super mini 59,


super mini 59THB",1
1NWLD4V7nEfFm24AXGx6FPF4OSw7Uk,ซื้อ 1 ได้ถึง 2 กับเมนูเบอเกอร์แสนอร่อยที่ห้องอาหาร Aqua Pool Bar & Cafe เลือกได้ 3 แบบ 3 สไตล์ ราคาเพียง 399 บาท สุทธิ เท่านั้น,"Buy 1 get 2 with delicious burger menu at Aqua Pool Bar & Cafe restaurant. Choose 3 types, 3 styles. Price is only 399 baht net.",0
1NWLCzm92Yqm9lBXuzdFonb338Cwji,เค้กทำได้ไหมและราคา,Can you make the cake and the price?,1
1NWLCzatLmrECSFo4blGCIMQpYfDyN,https://m.facebook.com/At-Last-steak-1145780235538933/,https://m.facebook.com/At-Last-steak-1145780235538933/,1
1NWLCCd1OT0Cd5Uh31pMCPcqN0lKn5,,,1
1NWLDDpEDbigz46oC6SDNPn6IVnnWH,"Pls like Facebook + check-in + share + review


ร้านอาหารทะเลสดอาเตี่ย ซีฟู้ด ริเวอร์ไซด์


https://www.facebook.com/artiaseafood/


โชว์และรับส่วนลด ค่าอาหาร 5%นะคะ","Pls like Facebook + check-in + share + review


Atia Seafood Riverside Fresh Seafood Restaurant


https://www.facebook.com/artiaseafood/


Show and receive a 5% discount on food.",1
1NWLBObwUzCkL0KemIlInnWaVLzwJX,,,1
1NWLBTxKCFn39JTZhaUGKcZHLJml86,,,1
1NWLDBtqBF0KMydP3YNKivTkNC4IyO,"ฟรี!!! เครื่องดื่ม โปรโมชั่น วันนี้-31ต.ค.61 


ซื้อครบ 250.- 


กดถูกใจเพจ แจ้งพนักงาน


#รับเครื่องดื่มฟรีทันที 1 แก้ว





ที่ร้านมีบริการ 


อาหารตามสั่งเริ่มต้น 50฿


เครื่องดื่มเริ่มต้น 35฿


บิงซูเริ่มต้น 89 ฿


สเต็ก 99 ฿


สปาเก็ตตี้ 80฿ 


เมนูของหวาน


และอาหารอื่นๆอีกมากมายรอคุณอยู่ แล้วเจอกันที่ร้าน ^^


เปิดบริการทุกวัน 10.00น.-22.00น. 


Tel:087-0176182","free!!! Drink promotions today-31 Oct. 2018


Purchase 250.-


Like the page and notify staff.


#Get 1 free drink immediately.





The shop has service.


A la carte meals starting at 50฿


Drinks starting at 35฿


Bingsu starts at 89 ฿


Steak 99 ฿


Spaghetti 80฿


Dessert Menu


And many other dishes are waiting for you. See you at the shop ^^


Open every day 10:00 a.m. - 10:00 p.m.


Tel:087-0176182",0
1NWLCeOm6pJwJfF8U9NN0UkIOmfFZT,สุกี้อร่อยที่สุด ต้องชิม,Sukiyaki is the most delicious. Must try.,1
1NWLBfXNA9KDxLZ6ClOPOy1ojSKtT3,"เมนูล่าสุด



 จ่ายผ่านพร้อมเพย์



QR CODE KBANK KRUNGSRI 



TRUEMONEY WALLET เกิน1000 บาท ฟรีทุกเมนูไม่เกิน 50 บาท","Latest menu



 Pay via PromptPay



QR CODE KBANK KRUNGSRI



TRUEMONEY WALLET over 1000 baht, free every menu no more than 50 baht",1
1NWLD4B8d7F6s5x1VA6j4YFDNKJCnV,ราคาใหม่ 25฿,New price 25฿,1
1NWLAz2c2Tsl9FZye37lKJJ72hJbkb,ขาบูฟินน บุฟเฟต์ ที่ สุขุมวิท 113 ซอยวัดด่าน 28 ใต้ตึกเดอะคิดส์คอนโด,"Khabu Finn Buffet at Sukhumvit 113, Soi Wat Dan 28, under The Kids Condo building.",1
1NWLCQgj3uNBGjM7JWisVkjqSKHCql,,,0
1NWLA7pDgz3QEyKvMswAWtXVzcI9Ra,"โปรมื้อค่ำ มี 2 แบบให้เลือก 17:00-23:00


เมื่อสั่งซุปต้นตำรับ ราคา800บาท...


1)รับฟรี! ชุดลูกชิ้นเนื้อรวม/หมูรวม ลูกชิ้นลาวารวม และชุดผักรวม มูลค่า320.-


2)รับส่วนลด50% เมื่อสั่งเนื้อ Himawari ทุกประเภท","Dinner promotion has 2 types to choose from 17:00-23:00


When ordering the original soup Price 800 baht...


1) Get it for free! Mixed meatball/mixed pork set Mixed lava meatballs and mixed vegetable set, value 320.-


2) Receive a 50% discount when ordering any type of Himawari beef.",0
1NWLCyJdLofaGl6briH4MVqUZrQbtB,"โอรีโอนมสดปั่นไข่มุก


ราคา35บาท","Oreo Fresh Milk Smoothie with Bubbles


Price 35 baht",1
1NWLAIeZgHL9GaQFXmwqlxtM34qGmG,Happy birthday,Happy birthday,0
1NWLCvrwctM1BgOzzjMYfHQ9LujdRI,,,0
1NWLCRVCTNrwS8tCQy0rx0UBfd9TVz,โปรดี ฟรีกระเป๋า จ้า !!!Cookies Lover Set เมื่อซื้อคุกกี้ครบ 4 กล่อง รสใดก็ได้ รับ กระเป๋าน่ารักๆ Milk Cheese Woven Tote *เริ่มตั้งแต่วันนี้ - 30 กันยายน 2561,"Good promotion, free bag!!!Cookies Lover Set, when you buy 4 boxes of cookies, any flavor, receive a cute bag: Milk Cheese Woven Tote *Starting today - 30 September 2018",0
1NWLAZRkEFtJ4CHB652hcyjnOnFVmF,,,1
1NWLCCd3tg2upNERMhzRVOxhPF2EYz,,,1
1NWLC1ggbB7A2OMxDKIgNCvaYZgTxM,"ลูกค้านำแก้วส่วนตัวมาซื้อเครื่องดื่มในร้านมูลค่า 50 บาทขึ้นไป รับส่วนลด 5 บาททันที



***ขอสงวนสิทธิ์เฉพาะแก้ว Double wall หรือแก้ว Tumbler เท่านั้น แก้วพลาสติกรียูสไม่ร่วมรายการนะคะ","Customers who bring their own glass to buy drinks worth 50 baht or more in the store will receive a 5 baht discount immediately.



***All rights reserved for Double wall glasses or Tumbler glasses only. Reusable plastic glasses are not included in the program.",0
1NWLBtHu9OpaJJIeFPwPIiDlEOJ4Cj,พิเศษสำหรับลูกค้าดีแทค ร้านฮาวยินดีมอบส่วนลด 15 บาทสำหรับทุกเมนูนะคะ สามารถใช้สิทธิได้ทั้งที่ร้านและบริการเดลิเวอรี่ค่ะ,Special for dtac customers Howe Restaurant is pleased to offer a 15 baht discount on all menu items. Rights can be used both at the store and delivery service.,0
1NWLBf0MdVhFHn0rmeC3hP3YGjr2SG,ชานมไข่มุก หอมชาเข้มข้น มีความหอมมัน ไข่มุกเคี้ยวหนึบอร่อยค่ะ playtea@icloud.com,"Bubble milk tea has a rich tea aroma, has an oily aroma, and chewy pearls are delicious. playtea@icloud.com",1
1NWLBNx5ZzejWNM6IgvHnL4jTslOvW,สำหรับลูกค้าจาก”วงใน”แก้วที่2ลด5บาท,"For customers from ""Wongnai"", the second glass is discounted by 5 baht.",0
1NWL9t3LOvQZXxyyPd075XKGpgLJrz,โปรโมชั่นสุดคุ้ม Buy 1 Get 1 เครื่องดื่มเย็นและปั่น ทุกวันจันทร์ และ พฤหัส ตั้งแต่ 12.00น.-17.00น. ยกเว้นเครื่องดื่ม โปรประจำเดือน น้ำส้ม น้ำแร่ และน้ำฝรั่ง              สาขาที่ไม่ร่วมรายการ  :สาขาหน้าพระลาน,"Great value promotion Buy 1 Get 1 cold drinks and smoothies every Monday and Thursday from 12.00 - 17.00 hrs. except drinks Monthly promotion: orange juice, mineral water, and guava juice at branches not participating in the program. :Na Phra Lan Branch",0
1NWLBt8fLKQCQM6pHIjuM6ddMrGRkb,มาอีกต่อแถวกันอีกรอบ ซื้อ 1 แถม 1 ทุกไซร์ทุกราคาจ้า,"Come and line up again, buy 1 get 1 free, every size, every price.",0
1NWLAtbpizOMBg0Rq1ki7DzeaKQfH8,,,1
1NWLAILP07GrVXsJ9xsGvKcHd0p4et,,,1
1NWLBtAAGstQ13fjmp1R6fqDTvCEOG,"เติมความสดชื่นด้วยคูปองซื้อเครื่องดื่มสตาร์บัคส์ประเภทใดก็ได้ ขนาด 12 ออนซ์ขึ้นไป 1 แก้ว รับฟรี 1 แก้ว* 


เพียงตอบคำถามง่ายๆ ถูกครบ 3 ข้อ ก็รับคูปองไปเลย ร่วมสนุกได้จนถึง 29 ส.ค. 61 และใช้คูปองได้จนถึง 7 ก.ย. 61 เฉพาะวันจันทร์ - ศุกร์ เวลา 14.00 - 24.00 น.","Refresh with a coupon: buy any type of Starbucks drink, size 12 ounces or more, get 1 free*


Just answer 3 simple questions correctly and receive a coupon. Participate in the fun until 29 August 2018 and use coupons until 7 September 2018, only Monday - Friday from 2:00 p.m. - 12:00 a.m.",0
1NWLD1dpdUrrC90Mh2Tm0xCefcfekH,U BEER 3 ขวด 100 บาทถ้วน,U BEER 3 bottles 100 baht only,1
1NWLDKplAPPRc1WenbugHo14zh1zwq,รับฟรีทันที เครื่องดื่ม เมื่อสั่ง5 เซ็ทสุดคุ้มจาก Baba Thai สังผ่าน wongnai ฟรีค่าส่ง 75 บาท,"Get free drinks when you order 5 sets, great value from Baba Thai, Sang Phan Wongnai, free shipping 75 baht.",0
1NWLAvNz8rJHM6tPPbHmKr9WujZT7e,"เปิดตัวเมนูใหม่ล่าสุดด~ “นมหนึบภูเขาไฟ”🍼🌋 



ราคาเพียง 69 บาท ซื้อสองแก้ว 120 บาท❗️



มีให้เลือก 4 รสชาติ นมสด นมชมพู ชาเขียว



ชาไทย ","Introducing the newest menu ~ ""Volcano Sticky Milk""🍼🌋



Price only 69 baht, buy two glasses for 120 baht❗️



There are 4 flavors to choose from: fresh milk, pink milk, green tea.



Thai tea",0
1NWLClrvwtjbYizmWJsN4ESS7tNAEi,,,1
1NWLBvzqaJ08rM6cKJJuXNBl6T1JHz,Hdjjdiwjus,Hdjjdiwjus,1
1NWL9rsO4XMxedV39W6CK3khlLiH9m,ชุดสุดประหยัด กับพิซซ่าสไตล์อิตาเลียน มีให้เลือกถึง 5 หน้า พร้อมสลัด 3สไตล์ และขนมปังกระเทียม ในราคาเพียง 249 บาท (Extra cheese +50฿),"Super economical set with Italian style pizza There are 5 toppings to choose from, 3 styles of salad and garlic bread for only 249 baht (Extra cheese +50฿)",0
1NWLCJ2HyayykXnzEyZTal2wPC1XnY,หอยนางรมสดจากฟาร์มเราเอง20ตัว550บาท,"Fresh oysters from our own farm, 20 pieces, 550 baht",1
1NWLD8aEY93PHjnNQF4B9Gq0IGUboF,,,0
1NWLB4yKRLKdTngK6RLevlnBcrhF6v,,,0
1NWLCk0eXt9o2p0TpVbKCWnJezYMhi,อร่อย จบนะ,"Delicious, finished.",1
1NWLAaYCXNPGSwX0siz41aQyRoYOS4,,,0
1NWLCXxiVi6M10GVX5iv13jNbxIjvW,"เค้กนมสด ใหม่สดทุกวัน


เค้กส้มสด


เค้กใบเตยแท้


เค้กสตรอเบอรี่


เค้กวนิลา เค้กกาแฟ เค้กชอคโกแลต (มีทั้งแบบธรรมดา และเคลือบแข็ง)





มีบริการเครื่องดื่มร้อนเย็น นมสด กาแฟ ไอศครีม


 ","Fresh milk cake, fresh every day


Fresh Orange Cake


Real Pandan Cake


Strawberry Cake


Vanilla cake, coffee cake, chocolate cake (both normal and hard coating)





Hot and cold drinks, fresh milk, coffee, and ice cream are available.


 ",1
1NWLBI5ebwobqPJoKweWVVGWl97Hyu,"พิเศษเฉพาะลูกค้าที่กดไลค์และทำการจองโต๊ะผ่าน INBOX 


กรุณาจองผ่าน INBOX Facebook ล่วงหน้า 1 วัน


ท่องกี่ภัตตาคารจัดรายการพิเศษสำหรับ เดือนแห่งวันแม่





ด้วยโปรโมชั่นพิเศษตลอดเดือนสิงหาคม 


""หมูหันหนังกรอบ จากราคาปกติ1800 เหลือเพียงราคาพิเศษ 900 บาท"" โดยใช้หมูตัวใหญ่ เกรดA คุณภาพล้นจาน


ตั้งแต่วันที่ 1 สิงหาคม 2018 จนถึง 31 สิงหาคม 2018 


เวลา 11.00-21.00 น. 


อิ่มอร่อยกันทั้งวัน, ทั้งเดือน


เฉพาะรับประทานอาหารในร้านเท่านั้น","Special only for customers who click ""Like"" and reserve a table via INBOX.


Please reserve via INBOX Facebook 1 day in advance.


How many restaurants organize special menu items? Month of Mother's Day





With special promotions throughout August


""Crispy Suckling Pork Skin"" from normal price 1800 Only a special price of 900 baht is left"" using a large pig, grade A, quality overloaded.


From 1 August 2018 until 31 August 2018


Time 11.00-21.00 hrs.


Delicious all day, all month long.


Only for eating in the restaurant.",0
1NWLCa6ZQTIzjqPyrtZfn2CgaQmDBh,โปรโมชั่นซื้อน้ำใบเตยตะไคร้หรือน้ำอัญชันหรือคละน้ำได้ซื้อ 2แถม1,"Promotion: buy pandan juice, lemongrass or butterfly pea juice or mixed juice, buy 2 get 1 free.",0
1NWLD7GCIQauBaP3AYUid5tOKKeojf,,,1
1NWLAZRluxLZ0uubDMgp1PHwV2bQD6,,,1
1NWLBsM6FY0Ym08761WlvbVlPllyZY,,,1
1NWLBSQFedNg9MIgIz3poQ83QfX71V,,,1
1NWLA4Br5kbYb1BxDfaOtQ17ONo7Kc,โปรโมชั่น รับหน้าฝน กับโปร สั่ง2 แถม 1 เมื่อสั่งเครื่องดื่มทุกอย่าง ก่อน 4 ทุ่ม (คละได้) เฉพาะวันจันทร์- พฤหัส  ตั้งแต่18.00-22.00,Promotion for the rainy season with a promotion: buy 2 get 1 free when ordering all drinks before 10:00 p.m. (can mix and match) only Monday - Thursday from 6:00 p.m. - 10:00 p.m.,1
1NWLB7nhDBlIkE5Wjg9h5FJNFMrTWc,"11-12 สิงหานี้


ทานครบ 300 บาท รับฟรี! เครื่องดื่ม 1 แก้ว


พิเศษสุด! พาคุณแม่มาทานด้วย รับฟรี! มินิวาฟเฟิล 1 ที่","11-12 August


Eat 300 baht and get it free! 1 drink


Very special! Bring your mother to eat and get it for free! 1 mini waffle",1
1NWLBqv7ODub2WEc1kjDD4h5DEdal1,สมาชิก,member,0
1NWLAqamKrBxHC55MTHOJ329MmR50I,เกาเหลากุ้งสด,Fresh shrimp soup,1
1NWLC7TPLPhT2aBMjlfOdR2G7km72w,"หาของฝากจากเชียงใหม่ให้คนที่เรารัก ... 🐷หมูยอใบตอง อร่อยๆ จากบ้านนินตรา ซิคะ.  สัมผัสเนื้อหมูแบบเต็มคำ





พิเศษ!!!  (เฉพาะ วันที่1-2 ก.ย.นี้เท่านั้นจ้ะ)


ซื้อ 6 แถม 1 





ติดต่อ


Line@ : https://line.me/R/ti/p/%40mcg6289w","Looking for souvenirs from Chiang Mai for the people we love... 🐷 Delicious banana leaf pork sausage from Baan Nintra. Experience the full flavor of pork.





special!!! (Only 1-2 September this year only)


Buy 6 get 1 free





contact


Line@ : https://line.me/R/ti/p/%40mcg6289w",0
1NWLCjwclFfcFeDMoVX1lkPmjO4QoY,ร้านBigbag Cafe’ หน้าศุภาลัยคอนโดเกษตรนวมินทร์ บรรยากาศดีมากๆค่ะ,Bigbag Cafe' in front of Supalai Condo Kaset Nawamin The atmosphere is very good.,1
1NWLArIrffCyiIvsnMb4Wm9uZmjkxT,ส่วนลด 20% เมื่อพาคุณแม่มาทานอาหารภายในร้าน,20% discount when bringing mother to eat at the restaurant,0
1NWLB7nRuv1ziZFSd6ufDbtuzSi4uT,,,1
1NWLBLnKR9kMBkEKMg3oOHbxOS0z2d,,,0
1NWLD4aKuo1XlpTE1rQiMJSgCo1OmA,"โปรโมชั่น ฉลอง วันเกิด   มา4 จ่าย 3 เจ้าของวันเกิดทานฟรี พร้อมรับของขวัญสุดพิเศษ  เค้กฟรีจ้า


***กรุณาจองล่วงหน้า รายละเอียดเพิ่มเติมโทร + 66 (2) 659 9000 ต่อ 9000, 7330","Birthday celebration promotion: come 4, pay 3, birthday person eats free Ready to receive a special gift, free cake.


***Please reserve in advance. For more details, call + 66 (2) 659 9000 ext. 9000, 7330.",0
1NWLB7nLfdTHAUPPIs9XERUkqGMLIP,,,1
1NWLCLHTJu39DqR4UBkwM2zmmHogcW,"#บะหมี่มันกุ้ง💥



ของต้องกินเลยนะคะ 🙊🙊🙊



ใครไม่กินถือว่ามาไม่ถึงร้านนายใบ้-ราชพฤกษ์







","#Shrimp noodles💥



It's a must eat item 🙊🙊🙊



Anyone who doesn't eat is considered to have not come to Nai Bai-Ratchapruek restaurant.







",1
1NWLClrQecONgawmoI3A7cxFzvfaKC,,,1
1NWLAIAC4Kcc9axUL26EXBlFGuGfai,,,1
1NWLCIlURZoDSSRsSSrFGezWSIPbBj,"จัดโปรโมชั่นวันนี้-9กันยา61 ซื้อหัวกุ้ง 10 ไม้ แถม 1 ไม้ ตัวกุ้ง 10 ไม้แถม 2 ไม้


","Promotion today - 9 September 2018. Buy 10 shrimp heads, get 1 free. 10 shrimp bodies, get 2 free.


",0
1NWLCTmMMjBzKmN7O0QyNEgINU04o1,ห้องคาราโอเกะ ลด 50%,Karaoke room 50% off,0
1NWLCdYE2BcX0jUyM27ZdlSK7gm5T9,🔴 ช่วงนี้มีโปรโมชั่น “ ข้าวต้มฟรี “ สวนกะเเสเศรษฐกิจ ยาวๆถึงสิ้นนี้เลยนะครับ,"🔴 During this period there is a promotion for ""Free Rice Porridge"" at Suan Kasae Setthakit. Until the end of this long time.",0
1NWLAHzgCWGxRtQufZtvz6GVslWHhK,,,1
1NWLCtfpm95IFmkANgsUOnMIbfICYV,ไอศกรีมข้าวเหนียวทุเรียนจากราคา 59 บาท ลดเหลือ 49 บาท,Durian sticky rice ice cream from 59 baht reduced to 49 baht.,0
1NWLCeyBidt1qWgDLrKuUoyw5oTOFX,,,1
1NWLA5Cou5I4zUfLA0CFE07csmChj8,,,0
